name;color;cmc;type;subtype;set;rarity;text;power;toughness;price_usd;price_eur;price_usd_foil;year
Fury Sliver;R;6;Creature;Sliver;tsp;uncommon;All Sliver creatures have double strike.;3;3;1.01;0.08;2.00;2006
Kor Outfitter;W;2;Creature;Kor Soldier;zen;common;When Kor Outfitter enters the battlefield, you may attach target Equipment you control to target creature you control.;2;2;0.28;0.14;0.50;2009
Siren Lookout;U;3;Creature;Siren Pirate;xln;common;"Flying
When Siren Lookout enters the battlefield, it explores. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard.)";1;2;0.08;0.03;0.21;2017
Web;G;1;Enchantment;Aura;3ed;rare;"Enchant creature (Target a creature as you cast this. This card enters the battlefield attached to that creature.)
Enchanted creature gets +0/+2 and has reach. (It can block creatures with flying.)";;;0.63;0.99;;1994
Venerable Knight;W;1;Creature;Human Knight;eld;uncommon;When Venerable Knight dies, put a +1/+1 counter on target Knight you control.;2;1;0.11;0.04;0.30;2019
Mystic Skyfish;U;3;Creature;Fish;m21;common;Whenever you draw your second card each turn, Mystic Skyfish gains flying until end of turn.;3;1;0.18;0.2;;2020
Swamp;B;0;Basic Land;Swamp;tmp;common;({T}: Add {B}.);;;0.34;0.1;;1997
Wall of Vipers;B;3;Creature;Snake Wall;pcy;uncommon;"Defender (This creature can't attack.)
{3}: Destroy Wall of Vipers and target creature it's blocking. Any player may activate this ability.";2;4;0.16;0.04;0.48;2000
Blood Operative;B;3;Creature;Vampire Assassin;grn;rare;"Lifelink
When Blood Operative enters the battlefield, you may exile target card from a graveyard.
Whenever you surveil, if Blood Operative is in your graveyard, you may pay 3 life. If you do, return Blood Operative to your hand.";3;1;0.07;0.06;0.43;2018
Fresh Meat;G;4;Instant;;nph;rare;Create a 3/3 green Beast creature token for each creature put into your graveyard from the battlefield this turn.;;;0.22;0.07;0.84;2011
Orzhov Guildgate;BW;0;Land;Gate;gtc;common;"Orzhov Guildgate enters the battlefield tapped.
{T}: Add {W} or {B}.";;;0.14;0.1;0.58;2013
Charge;W;1;Instant;;dom;common;Creatures you control get +1/+1 until end of turn.;;;0.05;0.05;0.31;2018
Island;U;0;Basic Land;Island;eld;common;({T}: Add {U}.);;;0.09;0.02;0.17;2019
